config,epochs,best_epoch,ade,delta_ade_vs_baseline,val_loss,delta_loss_vs_baseline,pred_loss,pred_latent_cosine_distance,epoch50_time_sec,final_dist,val_acc
baseline,50,50,0.11799277365207672,0.0,0.005168813280761242,0.0,8.676201820373535,0.5547478199005127,1.8576483726501465,0.12912724912166595,0.055889423936605453
A_l12_r005,50,50,0.11635220795869827,-0.0016405656933784485,0.005020076874643564,-0.0001487364061176777,8.68184757232666,0.5543662309646606,1.8136613368988037,0.12734808027744293,0.06580529361963272
A_l12_r010,50,50,0.1179269477725029,-6.582587957382202e-05,0.005155397579073906,-1.3415701687335968e-05,8.683505058288574,0.5538902282714844,1.8000919818878174,0.12891855835914612,0.06490384787321091
B_l12_r005,50,50,0.11680395156145096,-0.001188822090625763,0.005055299960076809,-0.00011351332068443298,8.6809663772583,0.5542323589324951,1.8946080207824707,0.12777939438819885,0.05799278989434242
B_l12_r010,50,50,0.11777423322200775,-0.00021854043006896973,0.005142097361385822,-2.6715919375419617e-05,8.682595252990723,0.5537889003753662,1.853454351425171,0.1287544071674347,0.06640625
C_l12_r005,50,50,0.11630626022815704,-0.0016865134239196777,0.005019287578761578,-0.0001495257019996643,8.677083015441895,0.5543912649154663,1.901094913482666,0.1275295466184616,0.06159856170415878
