scope,config,method,strategy,importance_source,protect_mode,merge_ratio,actual_merge_ratio,tokens_after,latency_ms_mean,speedup_vs_baseline,peak_memory_mb_mean,memory_delta_mb,mean_cosine,p10_cosine,p1_cosine,relative_l2,any_fallback,num_candidate_cells
256_A_same_time_vec,A_sim_same_time_vec_l8_r0.025_256,A_similarity_only,local_2x2_same_time_vec,none,none,0.025,0.02490234375,7988.0,78.15716477731864,1.082835741793286,2091.09814453125,-5.55419921875,0.9781408111254374,0.9666154185930887,0.5361658334732056,0.2101785708684305,False,2048.0
256_A_same_time_vec,A_sim_same_time_vec_l8_r0.05_256,A_similarity_only,local_2x2_same_time_vec,none,none,0.05,0.0499267578125,7783.0,77.42616658409436,1.093059042335356,2088.244140625,-8.408203125,0.9578942457834879,0.8905394673347473,0.43493518233299255,0.2919965806934657,False,2048.0
256_A_same_time_vec,A_sim_same_time_vec_l8_r0.075_256,A_similarity_only,local_2x2_same_time_vec,none,none,0.075,0.074951171875,7578.0,76.66945916910966,1.1038472478518033,2087.3291015625,-9.3232421875,0.9367376963297526,0.7914943893750509,0.37642161051432294,0.3581474271028014,False,2048.0
256_A_same_time_vec,A_sim_same_time_vec_l8_r0.1_256,A_similarity_only,local_2x2_same_time_vec,none,none,0.1,0.0999755859375,7373.0,75.84298091630141,1.1158761229533576,2080.78759765625,-15.86474609375,0.9161394238471985,0.7047372857729594,0.3509432176748912,0.41252438221248994,False,2048.0
256_A_same_time_vec,A_sim_same_time_vec_l8_r0.125_256,A_similarity_only,local_2x2_same_time_vec,none,none,0.125,0.125,7168.0,74.80882356564204,1.1313019970678584,2069.283203125,-27.369140625,0.8966416716575623,0.6407397786776224,0.3270065089066823,0.4581269770896453,False,2048.0
256_B_norm_motion,B_protect_norm_motion_local_top1_l8_r0.05_256,B_importance_protected,local_2x2_importance_protected_vec,norm_motion,local_top1,0.05,0.0499267578125,7783.0,77.92079125841458,1.0892022620123114,2088.244140625,-8.408203125,0.9578689932823181,0.8899826010068258,0.43835018078486127,0.29213917603796896,False,2048.0
256_B_norm_motion,B_protect_norm_motion_local_top1_l8_r0.1_256,B_importance_protected,local_2x2_importance_protected_vec,norm_motion,local_top1,0.1,0.0999755859375,7373.0,76.67209940652053,1.1069411526931068,2080.78759765625,-15.86474609375,0.9163689017295837,0.7048933307329813,0.348270982503891,0.4119557869952107,False,2048.0
256_B_norm_motion,B_protect_norm_motion_local_top1_l8_r0.125_256,B_importance_protected,local_2x2_importance_protected_vec,norm_motion,local_top1,0.125,0.125,7168.0,75.505289559563,1.1240471044019067,2069.283203125,-27.369140625,0.8969699144363403,0.644102414449056,0.32504966855049133,0.45740444599261326,False,2048.0
256_C_norm_motion,C_hybrid_norm_motion_local_top1_l8_r0.05_256,C_hybrid_similarity_importance,local_2x2_hybrid_score_vec,norm_motion,local_top1,0.05,0.0499267578125,7783.0,78.02638486027718,1.0877073098993075,2088.244140625,-8.408203125,0.9432060321172079,0.8199240366617838,0.3829574187596639,0.33853165941642915,False,2048.0
256_C_norm_motion,C_hybrid_norm_motion_local_top1_l8_r0.1_256,C_hybrid_similarity_importance,local_2x2_hybrid_score_vec,norm_motion,local_top1,0.1,0.0999755859375,7373.0,76.51579690476258,1.109181013734663,2080.78759765625,-15.86474609375,0.8979265888532003,0.6400568882624308,0.3144349753856659,0.45384106037940325,False,2048.0
256_C_norm_motion,C_hybrid_norm_motion_local_top1_l8_r0.125_256,C_hybrid_similarity_importance,local_2x2_hybrid_score_vec,norm_motion,local_top1,0.125,0.125,7168.0,75.47061455746491,1.1245419117783708,2069.283203125,-27.369140625,0.8766010800997416,0.5845449566841125,0.30036749442418414,0.49896411075854513,False,2048.0
512_A_same_time_vec,A_sim_same_time_vec_l8_r0.05_512,A_similarity_only,local_2x2_same_time_vec,none,none,0.05,0.04998779296875,31130.0,640.4761624419026,1.0671824358515576,3110.2001953125,-38.4521484375,0.9678036173184713,0.9276385307312012,0.5207148989041647,0.25339571769127983,False,8192.0
512_A_same_time_vec,A_sim_same_time_vec_l8_r0.1_512,A_similarity_only,local_2x2_same_time_vec,none,none,0.1,0.0999755859375,29492.0,609.1893675426642,1.1219908743593405,3069.1962890625,-79.4560546875,0.9348283807436625,0.791915754477183,0.4203799366950989,0.3612482195319792,False,8192.0
512_A_same_time_vec,A_sim_same_time_vec_l8_r0.125_512,A_similarity_only,local_2x2_same_time_vec,none,none,0.125,0.125,28672.0,597.6181783609919,1.1437150607000706,3051.17578125,-97.4765625,0.9185925523440043,0.7324021855990092,0.3905462721983592,0.40392793800595744,False,8192.0
512_B_norm_motion,B_protect_norm_motion_local_top1_l8_r0.05_512,B_importance_protected,local_2x2_importance_protected_vec,norm_motion,local_top1,0.05,0.04998779296875,31130.0,644.5014176683294,1.067598635421555,3110.2001953125,-38.4521484375,0.9679893056551615,0.9283414681752523,0.5212804675102234,0.25266462447377097,False,8192.0
512_B_norm_motion,B_protect_norm_motion_local_top1_l8_r0.1_512,B_importance_protected,local_2x2_importance_protected_vec,norm_motion,local_top1,0.1,0.0999755859375,29492.0,612.3956632282999,1.1235690834300625,3069.1962890625,-79.4560546875,0.9348729650179545,0.7918956677118937,0.42049844066301983,0.3611370955083641,False,8192.0
512_B_norm_motion,B_protect_norm_motion_local_top1_l8_r0.125_512,B_importance_protected,local_2x2_importance_protected_vec,norm_motion,local_top1,0.125,0.125,28672.0,600.0943595750465,1.146601068733954,3051.17578125,-97.4765625,0.9188581506411234,0.7339885830879211,0.3917752007643382,0.4033052967281623,False,8192.0
512_C_norm_motion,C_hybrid_norm_motion_local_top1_l8_r0.05_512,C_hybrid_similarity_importance,local_2x2_hybrid_score_vec,norm_motion,local_top1,0.05,0.04998779296875,31130.0,644.0636184480454,1.0707570120570262,3110.2001953125,-38.4521484375,0.9568005005518595,0.8857754866282145,0.4186406234900157,0.2946175340406661,False,8192.0
512_C_norm_motion,C_hybrid_norm_motion_local_top1_l8_r0.1_512,C_hybrid_similarity_importance,local_2x2_hybrid_score_vec,norm_motion,local_top1,0.1,0.0999755859375,29492.0,613.0142656879293,1.124991169479802,3069.1962890625,-79.4560546875,0.9177302916844686,0.7009222904841105,0.3485199411710103,0.40615329151133084,False,8192.0
512_C_norm_motion,C_hybrid_norm_motion_local_top1_l8_r0.125_512,C_hybrid_similarity_importance,local_2x2_hybrid_score_vec,norm_motion,local_top1,0.125,0.125,28672.0,600.8681636303663,1.147732027434068,3051.17578125,-97.4765625,0.8992629647254944,0.6452640493710836,0.3299565315246582,0.44944496137065126,False,8192.0
